"Label","Description","Type"
"Increase in average temperatures","Increase in Temperature of 0.02-0.03 °C per year by 2050 across the entire region is expected","EAP_Lowland_Rice"
"Rising sea levels","The tides are rising at a rate close to ~2 cm/year, and salinity has increased by approximately 0.2–0.5 PSU/year.  Sea levels are expected to rise in the region by 45-75 cm by 2090.  Average sea level rise of 3 mm per year over the last 30 years . This is a major threat to a part of the world which, on average, is less than 2 metres above sea level.","EAP_Lowland_Rice"
"Increase in drought events","The risk of drought often occurs during the Winter-Spring rice crops, particularly in El Niño years. Severe drought years such as 1977–1978, 1997–1998, 2015–2016 and 2019–2020 are all related to El Niño events,","EAP_Lowland_Rice"
,"which greatly affect production and life in the Mekong Delta. During low river flow periods, between March and April, saline water intrudes up to 40–50 km inland from estuaries through main river systems  and about 100,000 ha of rice annually is at high risk of dry-season salinity intrusion.",
"Increase in average precipitation","In recent years, farmers in many provinces have had to readjust the crop calendar, to rotate rice with short-term crops, or to convert their rice land to aquaculture. It is worth noting that the rate of increase in aquaculture area in the Mekong Delta experienced an important surge after El Ninõ 2015–2016 (mean annual increase of 18.3 T ha in 2016–2019, as compared to 4.25 T ha in 2008–2015). Rainfall has increased at the end of the rainy season but decreased at the beginning of the rainy season over the last 10 years. Shifting rainfall patterns such as these can have an adverse effect on the agricultural productivity of the Mekong Delta. A 30% annual increase in precipitation has been observed.","EAP_Lowland_Rice"
"Decrease in average precipitation","The temperature has increased, annual rainfall has decreased and is distributed less evenly, and the dry season lasts longer. Results indicate a significant downward trend in rainfall in the Kien Giang, Soc Trang, and Ca Mau provinces, where the rice-growing areas are mainly based on rainfall. Therefore, these areas have a potential risk of water shortages, resulting in increased production costs especially during the winter-spring crop season, and a rice productivity decline, which would indirectly contribute to threatening the food security of the region and Vietnam as a whole.","EAP_Lowland_Rice"
"Saline intrusion","The risks of increasing saline intrusion and permanent inundation due to sea level rise, will significantly reduce the land suitable for rice cultivation in the Mekong delta by 50 % by 2050. Coastal provinces are strongly affected by saline intrusion from the second half of December to the end of April. Recently, saline intrusions tend to occur earlier, with increased salinity concentrations and duration, and are more invasive in the fields. Salinity intrusion is associated with low water discharge from upstream of the Mekong River.","EAP_Lowland_Rice"
,"This is caused by the below average rainfall in the Mekong basin due to the El Niño. With insufficient upstream water flow to push back seawater, salinity intrusion increased in concentration and duration. It was also aggravated by the drought and high temperature in the region. Salinity intrusion is also caused by the construction of dams further upstream on the Mekong River and dams on the lower Mekong River, which reduce water flow and prevent the renewal of the delta silt deposits.",
"Shorter growing seasons","In recent years, farmers in many provinces have had to readjust the crop calendar, to rotate rice with short-term crops, or to convert their rice land to aquaculture. It is worth noting that the rate of increase in aquaculture area in the Mekong Delta experienced an important surge after El Ninõ 2015–2016 (mean annual increase of 18.3 T ha in 2016–2019, as compared to 4.25 T ha in 2008–2015).","EAP_Lowland_Rice"
"Increased flooding","Seasonal river flooding, which coincides with the rainy season that runs from May to November, plays a critical role in the health of the Mekong river system. These floods deposit sediments, which improve soil fertility, flush out polluted waters, and recharge the groundwater tables. However, excessive flooding during the rainy season are becoming more frequent, and structural elements are not expected to hold up under an increasingly severe climate regime, which is driving sea-level rise (SLR) and changing meteorological and hydrological conditions.","EAP_Lowland_Rice"
